stop_id,stop_name,latitude,longitude
366855005,Stop_366855005,13.0672505,80.253857
368390910,Stop_368390910,12.8238617,80.2401637
370969649,Stop_370969649,13.0408567,80.1280794
370969652,Stop_370969652,13.0407272,80.1279797
370969655,Stop_370969655,13.0381632,80.135238
370969661,Stop_370969661,13.0368549,80.1422989
370969664,Stop_370969664,13.0354754,80.1542326
370969668,Stop_370969668,13.0365785,80.1426413
370969671,Stop_370969671,13.0349841,80.1551858
370969686,Stop_370969686,13.0322785,80.1637329
370969689,Stop_370969689,13.0320596,80.1635994
370969697,Stop_370969697,13.0294745,80.168324
370969700,Stop_370969700,13.0249393,80.1768338
370969702,Stop_370969702,13.0246916,80.1768125
373156194,Stop_373156194,12.9057495,80.1678369
373156197,Stop_373156197,12.8901528,80.1844457
373156202,Stop_373156202,12.9075148,80.1986767
373169717,Stop_373169717,13.1587549,80.2984032
373169886,Stop_373169886,13.1592829,80.3021668
378688565,Stop_378688565,13.0513415,80.2516342
378688568,Stop_378688568,13.0514752,80.2518854
384486247,Stop_384486247,13.0799588,80.2547872
384723341,Stop_384723341,13.0508703,80.0947946
386002530,Stop_386002530,13.0303695,80.238274
386002531,Stop_386002531,13.0295543,80.2437738
389516314,Stop_389516314,13.0368739,80.2466823
389964617,Stop_389964617,13.0441881,80.1936767
391823865,Stop_391823865,13.0073565,80.2018029
391823888,Stop_391823888,13.0073386,80.1969623
393765035,Stop_393765035,13.0852627,80.2854922
393765044,Stop_393765044,13.0875965,80.2852522
393765046,Stop_393765046,13.0885188,80.2881787
400900464,Stop_400900464,13.0470241,80.2119327
400900776,Stop_400900776,13.0489528,80.207122
401769773,Stop_401769773,12.9947061,80.206537
401880679,Stop_401880679,13.0627931,80.19718
401880700,Stop_401880700,13.0631192,80.1972144
401880712,Stop_401880712,13.0692689,80.2006237
401880999,Stop_401880999,13.068119,80.2049305
402290952,Stop_402290952,13.0694912,80.1243046
402292542,Stop_402292542,12.9738315,80.2033552
402292545,Stop_402292545,13.0574894,80.2041542
405508932,Stop_405508932,13.0480237,80.2540873
407981751,Stop_407981751,13.0368855,80.2670356
407983130,Stop_407983130,13.037429,80.264641
410293823,Stop_410293823,13.0470929,80.2329094
410293824,Stop_410293824,13.0477362,80.2330399
410613113,Stop_410613113,13.0264512,80.2641778
410613378,Stop_410613378,13.0251384,80.2651734
410614381,Stop_410614381,13.0338433,80.2678513
410614397,Stop_410614397,13.0339269,80.2680487
410615353,Stop_410615353,13.0369967,80.2665843
411316688,Stop_411316688,13.0490005,80.1923804
412728360,Stop_412728360,13.0397952,80.2635513
413858335,Stop_413858335,13.0352016,80.2704429
414712723,Stop_414712723,13.0546862,80.2641983
414712727,Stop_414712727,13.0546528,80.26443
414713529,Stop_414713529,13.0643489,80.2821764
414713705,Stop_414713705,13.0656532,80.28373
414713706,Stop_414713706,13.0645078,80.2820391
414714010,Stop_414714010,13.0645245,80.2837471
415913900,Stop_415913900,13.0700162,80.2420245
415913904,Stop_415913904,13.0704837,80.2421189
416412294,Stop_416412294,13.0375277,80.2677619
416412351,Stop_416412351,13.0378454,80.2675965
417750649,Stop_417750649,13.0007984,80.2672903
417750654,Stop_417750654,12.9960874,80.2676685
418116038,Stop_418116038,13.0293213,80.2661449
418116039,Stop_418116039,13.0288278,80.2638491
418116040,Stop_418116040,13.027196,80.266243
418116041,Stop_418116041,13.0248633,80.2651335
418116043,Stop_418116043,13.0414805,80.2586885
418116044,Stop_418116044,13.0417098,80.259068
418116045,Stop_418116045,13.0374839,80.2561629
442131985,Stop_442131985,12.9254158,80.1169355
442506948,Stop_442506948,12.9652457,80.2069875
459632401,Stop_459632401,13.0545015,80.2039738
459633603,Stop_459633603,13.0544382,80.2042343
459633606,Stop_459633606,13.0546223,80.2013161
560212201,Stop_560212201,12.9426369,80.1403121
571352244,Stop_571352244,13.0394488,80.2455135
577362217,Stop_577362217,13.0687582,80.2052047
577376043,Stop_577376043,13.0065537,80.2463099
